num, name, organism, type, Dataset, Platforms, samples, series
709,Gene expression profiling of effector and regulatory T-cells from peripheral blood of rheumatoid arthritis (RA) patients and healthy volunteers.,Homo sapiens,Expression profiling by array,NoData,GPL570,48,GSE65010,GSE65010
710,Transcription changes due to TET1 knockdown in HCT116 colorectal cancer cells.,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE66512,GSE66512
711,"Genomic profiles for human peripheral blood T cells, B cells, natural killer cells, monocytes, and polymorphonuclear cells: comparisons to ischemic stroke, migraine, and Tourette syndrome",Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE72642,GSE72642
712,Beclin-1 is dispensable for chromosome congression and proper outer kinetochore assembly,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE69052,GSE69052
713,Expression data from of HD-iPSC and CON-iPSC neuron derivatives,Homo sapiens,Expression profiling by array,NoData,GPL570,5,GSE59051,GSE59051
714,"Low-dose, long-wave UV light does not affect gene expression of human mesenchymal stem cells",Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE58093,GSE58093
715,Peripheral blood mononuclear cell gene expression pre-/post- acute metabolic challenge,Homo sapiens,Expression profiling by array,NoData,GPL6244,92,GSE56609,GSE56609
716,Peripheral blood mononuclear cell gene expression pre-/post- oral lipid challenge,Homo sapiens,Expression profiling by array,NoData,GPL6244,46,GSE56608,GSE56608
717,Peripheral blood mononuclear cell gene expression pre-/post- oral glucose challenge,Homo sapiens,Expression profiling by array,NoData,GPL6244,46,GSE56607,GSE56607
718,Identification and characterization of human Natural Killer (NK) lineage restricted progenitors,Homo sapiens,Expression profiling by array,NoData,GPL6244,15,GSE60448,GSE60448
719,Knockdown and Overexpression of FMR4 in HEK293T cells at 6 and 24 hours,Homo sapiens,Expression profiling by array,NoData,GPL6244,24,GSE70817,GSE70817
720,Influence of muscle activity on paralyzed muscle,Homo sapiens,Expression profiling by array,NoData,GPL5175,20,GSE63423,GSE63423
721,Revisiting the transcriptional analysis of primary tumors and associated nodal metastases with enhanced biological and statistical controls: application to thyroid cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,92,GSE60542,GSE60542
722,Global analysis of androgen-signaling reveals the function of miRNAs for the epigenomic regulation in prostate cancer cells,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing; Other,NoData,NoData,73,GSE66039,GSE66039
723,Effects of miRNA-mediated TET2 in prostate cancer,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE66038,GSE66038
724,Dysregulation of the Transforming Growth Factor Beta Pathway in Induced Pluripotent Stem Cells Generated from Patients with Diamond Blackfan Anemia,Homo sapiens,Expression profiling by array,NoData,GPL17586 GPL5175,14,GSE70349,GSE70349
725,Dysregulation of the Transforming Growth Factor Beta Pathway in Induced Pluripotent Stem Cells Generated from Patients with Diamond Blackfan Anemia [HTA-2_0],Homo sapiens,Expression profiling by array,NoData,GPL17586,8,GSE70348,GSE70348
726,Dysregulation of the Transforming Growth Factor Beta Pathway in Induced Pluripotent Stem Cells Generated from Patients with Diamond Blackfan Anemia [HuEx-1_0],Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE70347,GSE70347
727,EVI1 promotes tumor growth via transcriptional repression of MS4A3,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE60100,GSE60100
728,"Global expression profile in a combined study in low grade meningiomas and schwannomas shows upregulation in PDGF, CDH1, SLIT2 and MET.",Homo sapiens,Expression profiling by array,NoData,GPL6244,65,GSE54934,GSE54934
729,Expression data from thalamus or parietal lobe of FFI patients and normal human.,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE40562,GSE40562
730,Immune cell subsets and their gene expression profiles from human PBMC isolated by Vacutainer Cell Preparation Tube and standard density gradient,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE67321,GSE67321
731,EphB2 promotes progression of cutaneous squamous cell carcinoma,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL13667,25,GSE66368,GSE66368
732,Analysis of the gene expression profile in normal human epidermal keratinocytes and cutaneous squamous cell carcinoma cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,13,GSE66359,GSE66359
733,Gene expression induced by treatment of artemin in HCC.CELls,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE72411,GSE72411
734,Expression data from CEA high and CEA low cells in colorectal cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE72398,GSE72398
735,Expression data from BRAF-mutant melanoma cell lines,Homo sapiens,Expression profiling by array,NoData,GPL6244,46,GSE45558,GSE45558
736,p53 amplifies Toll-like receptor 5 response in MCF-7 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,35,GSE72359,GSE72359
737,Expression profile of ZOS and ZOSM osteosarcoma cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE55957,GSE55957
738,Differentially Expressed LncRNAs Might be Controlling Signaling Pathways by Establishing Interactions with mRNAs and MicroRNAs in Pediatric Astrocytoma,Homo sapiens,Expression profiling by array,NoData,GPL17585 GPL17586,18,GSE72269,GSE72269
739,Expression array analysis of the hepatocyte growth factor (HGF) invasive program,Homo sapiens,Expression profiling by array,NoData,GPL570,36,GSE71404,GSE71404
740,Epigenetic screen of  metastasis-driving genes in osteosarcoma,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL16378 GPL15491 GPL570,10,GSE56255,GSE56255
741,"Genome-Wide Expression Profiling of Human Colonic Epithelial Cell Model Co-challenged with Single, Multi-strain Probiotics and Pro-inflammatory Stimulus, poly (I:C)",Homo sapiens,Expression profiling by array,NoData,GPL10332,33,GSE71515,GSE71515
742,Epigenetics and Proteomics Join Transcriptomics in the Quest for Tuberculosis Biomarkers,Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL13534 GPL20652 GPL15159,102,GSE70478,GSE70478
743,Gene expression data from CD14++ CD16- classical monocytes from healthy volunteers and patients with pancreatic ductal adenocarcinoma,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE60601,GSE60601
744,The human glioblastoma cell culture resource,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,NoData,GPL16131 GPL17586 GPL5175,110,GSE72219,GSE72219
745,Expression data from The human glioblastoma cell culture resource: validated cell models representing all molecular subtypes (transcript),Homo sapiens,Expression profiling by array,NoData,GPL17586,15,GSE72218,GSE72218
746,Expression data from The human glioblastoma cell culture resource: validated cell models representing all molecular subtypes (exon),Homo sapiens,Expression profiling by array,NoData,GPL5175,47,GSE72217,GSE72217
747,Transcriptional profiling shows altered expression of wnt pathway- and lipid metabolism-related genes as well as melanogenesis-related genes in melasma.,Homo sapiens,Expression profiling by array,NoData,GPL570,48,GSE72140,GSE72140
748,Reversion of FMR1 methylation and silencing by editing the triplet repeats in Fragile-X iPSC-derived neurons,Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE72114,GSE72114
749,Smoking accelerated aging of the small airway epithelium,Homo sapiens,Expression profiling by array,NoData,GPL570,58,GSE52237,GSE52237
750,Preserved DNA Damage Checkpoint Pathway Protects From Complications in Long-standing Type 1 Diabetes,Homo sapiens,Expression profiling by array,NoData,GPL10904,24,GSE70752,GSE70752
751,Expression data from lung tissues of IPF patients and Normal Control,Homo sapiens,Expression profiling by array,NoData,GPL17586,8,GSE72073,GSE72073
752,Gene expression profile of human T-ALL cell line JURKAT after TRIB2 knockdown,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE66013,GSE66013
753,TLR2/6 agonists and IFNlambda induce CXCL10 from melanoma,Homo sapiens,Expression profiling by array,NoData,GPL6244,56,GSE49632,GSE49632
754,Gene expression signature predicting post-relapse survival of myeloma patients identified by co-culture of myeloma cells with osteoclasts and osteoblast progenitors,Homo sapiens,Expression profiling by array,NoData,GPL570,1080,GSE31162,GSE31162
755,"Expression data from primary multiple myeloma plasma cells from patients treated by  Total Therapy 2, 3 and Other protocols at baseline and relapse.",Homo sapiens,Expression profiling by array,NoData,GPL570,1038,GSE31161,GSE31161
756,Expression data from osteoclasts before and after co-culture with multiple myeloma plasma cells,Homo sapiens,Expression profiling by array,NoData,GPL570,16,GSE31156,GSE31156
757,Expression data from multiple myeloma plasma cells and mesenchymal stem cells before and after co-culture,Homo sapiens,Expression profiling by array,NoData,GPL570,26,GSE31159,GSE31159
758,Expression data from primary culture human myometrial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,15,GSE68171,GSE68171
759,Covalent targeting of remote cysteine residues for the development of selective CDK12/13 inhibitors,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL16791,4,GSE72031,GSE72031
760,The gene expression of normal pancreatic and PDAC tisssues.,Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE71989,GSE71989
761,Foxp3 is a key downstream regulator of p53-mediated cellular senescence,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL18752 GPL10904 GPL11202,10,GSE71980,GSE71980
762,"Human Cytomegalovirus in Glioblastoma Stemness--Results from Human, Mouse and HCMV DNA arrays",Homo sapiens; Human herpesvirus 5; Mus musculus,Expression profiling by array,NoData,GPL6244 GPL6246 GPL15366,14,GSE56752,GSE56752
763,Cytomegalovirus promotes maintenance and growth of glioblastoma stem cells [Human gene expression],Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE56715,GSE56715
764,IL-8 Confers Acquired Resistance to EGFR Inhibitors through Regulating Stem Cell-like Properties in Lung Cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE60189,GSE60189
765,Gene expression analysis of directly converted brown adipocytes (dBAs).,Homo sapiens; Mus musculus,Expression profiling by array,NoData,GPL6246 GPL6244,9,GSE56635,GSE56635
766,Gene expression analysis of directly converted brown adipocytes (dBAs). [human],Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE56633,GSE56633
767,down-regulation of dermcidin by shRNA in breast cancer cell line MDA-MB-361,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE57578,GSE57578
768,Unexpected Inflammatory Effects of Intravaginal Gels (Universal Placebo Gel and Nonoxynol-9) on the Upper Female Reproductive Tract: an Experimental Crossover Study,Homo sapiens,Expression profiling by array,NoData,GPL6244,58,GSE58090,GSE58090
769,Gene expression of human hepatocellular carcinoma cells in response to acyclic retinoid,Homo sapiens,Expression profiling by array,NoData,GPL570,5,GSE71856,GSE71856
770,Distinct signal transduction pathways downstream of the (P)RR revealed by microarray and ChIP-chip analyses [Expt: PLZF_KELLY],Homo sapiens,Expression profiling by array,NoData,GPL5175,4,GSE39964,GSE39964
771,Distinct signal transduction pathways downstream of the (P)RR revealed by microarray and ChIP-chip analyses [Expt: siRNA],Homo sapiens,Expression profiling by array,NoData,GPL5175,6,GSE39963,GSE39963
772,Gene expression profiling of the prostate biopsy samples from cancer and adjacent normal tissues of European American prostate cancer patients,Homo sapiens,Expression profiling by array,NoData,GPL5175,30,GSE71783,GSE71783
773,PRC2 inhibition counteracts the culture-associated loss of engraftment potential of human cord blood-derived hematopoietic stem and progenitor cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE58461,GSE58461
774,Gene expression profiling of the prostate biopsy samples (cancer and adjacent normal tissues) from African American prostate cancer patients,Homo sapiens,Expression profiling by array,NoData,GPL5175,40,GSE71781,GSE71781
775,Development of gene expression signatures,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL19197 GPL11154,111,GSE62144,GSE62144
776,Stockholm dataset for ageing prototype diagnostic,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE59880,GSE59880
777,"Effects of aerobic vs. resistance training on visceral and liver fat stores, liver enzymes, and insulin resistance by HOMA in overweight adults from STRRIDE AT/RT",Homo sapiens,Expression profiling by array,NoData,GPL570,125,GSE47969,GSE47969
778,Uppsala Longitudinal Study of Adult Men (ULSAM),Homo sapiens,Expression profiling by array,NoData,GPL5175,108,GSE48264,GSE48264
779,MEK Inhibition Overcomes Cisplatin Resistance Conferred by SOS/MAPK Pathway Activation in Squamous Cell Carcinoma (SCC),Homo sapiens,Expression profiling by array,NoData,GPL6244,32,GSE66549,GSE66549
780,Inhibition of EZH2 in THP-1 cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE71671,GSE71671
781,Integration analysis of three omics data using penalized regression methods: An application to bladder cancer,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL8490 GPL6244,90,GSE71669,GSE71669
782,Integration analysis of three omics data using penalized regression methods: An application to bladder cancer (expression),Homo sapiens,Expression profiling by array,NoData,GPL6244,44,GSE71576,GSE71576
